FundName,CAGR_3Y,CAGR_5Y,MaxDrawdown,StdDev,SharpeRatio,SortinoRatio,Alpha,UpsideCapture,DownsideCapture,AUM_Cr,TER_pct,MinInvestment_Cr,InceptionDate,FundType,Strategy,Qual_ManagerReview,Qual_PhilosophyReview,Qual_HouseReview,Qual_ClientServiceReview,RollingReturn_1Y,RollingReturn_3Y,RollingReturn_5Y
Phoenix Growth Fund,22.5,19.8,-16.5,14.2,0.95,1.40,6.5,110,85,1500,1.9,1.0,2015-03-01,PMS,Large Cap,"Highly experienced manager, 20+ years. Stable team.","Clear growth at reasonable price philosophy.","Strong brand, no SEBI issues. Highly transparent.","Excellent client support, detailed monthly reports.",23.1,22.0,19.5
Zenith Alpha Fund,18.9,17.2,-13.0,11.5,0.88,1.30,4.8,105,78,900,2.1,0.75,2017-06-15,AIF Cat III,Multi-Asset,"Promising young manager, 7 years experience. Stable team.","Adaptive, macro-driven strategy.","Growing reputation, no SEBI issues. Good communication.","Responsive, good education material.",19.5,18.5,16.9
Everest Equity Fund,15.2,14.5,-12.0,10.8,0.80,1.25,3.5,98,75,2800,1.7,0.5,2010-09-01,PMS,Flexi Cap,"Seasoned, 18 years in equity. No team changes in 5 years.","Consistent quality-growth philosophy.","Established house, clean regulatory record. Excellent reporting.","Very responsive, personalized service.",15.8,15.0,14.3
Oceanic Debt Solutions,7.5,7.0,-2.1,3.5,0.60,0.90,1.2,102,90,3500,0.8,1.0,2008-11-20,PMS,Debt,"Expert in fixed income, 25 years. Stable, large team.","Conservative, capital preservation focus.","Large, well-regarded house. Clean record.","Excellent client support, comprehensive quarterly reports.",7.8,7.3,6.9
Quantum Opportunities AIF,25.8,22.1,-20.0,17.5,1.05,1.55,8.0,115,90,600,2.5,2.0,2019-01-10,AIF Cat III,Long-Short Equity,"Dynamic manager, 10 years experience. Highly active.","Aggressive, high-conviction long-short strategy.","Innovative but smaller house. No major issues.","Good responsiveness, detailed investor calls.",26.5,25.0,21.8
Nexus Midcap Fund,19.3,16.8,-17.8,15.5,0.89,1.32,5.5,108,88,1100,2.2,0.75,2016-04-01,PMS,Mid Cap,"Dedicated mid-cap expert, 12 years. Very focused team.","Bottom-up stock picking.","Solid reputation. One minor regulatory notice 2 years ago.","Average responsiveness, standard reports.",19.9,18.9,16.5
Ascent Multi-Asset,12.0,10.5,-8.5,7.0,0.75,1.15,2.5,95,72,1800,1.5,1.0,2013-08-01,PMS,Multi-Asset,"Balanced portfolio manager, 15 years. Diverse expertise.","Strategic asset allocation, risk-managed.","Reputable house. Clean regulatory history.","Responsive, educational webinars.",12.5,11.8,10.3
Galaxy Smallcap Fund,28.0,24.5,-25.0,20.0,1.10,1.60,9.5,120,95,400,2.3,1.0,2018-02-20,AIF Cat III,Small Cap,"Star manager, 10 years experience in smallcaps.","High-growth, early-stage focus.","Newer fund house, gaining traction. No issues.","Good client engagement.",28.8,27.5,24.1
Horizon Credit Fund,8.2,7.8,-3.0,4.0,0.65,1.00,1.5,100,92,2500,0.9,1.5,2011-07-01,AIF Cat II,Debt Fund,"Experienced credit analyst, 22 years.","Conservative debt allocation.","Large, conservative parent company. Clean record.","Excellent, proactive communication.",8.5,8.0,7.6
Vanguard Thematic Fund,16.5,14.0,-14.0,13.0,0.82,1.28,4.0,103,82,750,2.0,0.75,2017-11-05,PMS,Thematic,"Research-driven manager, 10 years, tech focus.","Identifies long-term structural trends.","Reputable for niche strategies. No issues.","Standard client service.",17.0,16.0,13.8
Ignite Core Equity,17.0,15.5,-15.0,13.5,0.86,1.29,4.2,107,83,1300,1.8,0.5,2014-09-01,PMS,Core Equity,"Solid manager, 14 years. Consistent team.","Diversified large-cap approach.","Established player, clean record.","Responsive, regular updates.",17.5,16.5,15.2
Catalyst Special Situations,20.0,17.0,-19.0,16.0,0.90,1.35,6.0,112,87,500,2.4,1.5,2019-06-01,AIF Cat III,Special Situations,"Deep dive analyst, 9 years. Small, focused team.","Event-driven, value-oriented.","Boutique firm. No known issues.","Good communication via calls.",20.6,19.5,16.8
Stellar Balanced Portfolio,14.5,13.0,-11.0,9.5,0.78,1.20,3.0,97,73,2000,1.6,1.0,2012-03-20,PMS,Balanced,"Veteran manager, 20+ years. Diverse asset class experience.","Hybrid approach, equity-debt allocation.","Well-regarded house, no regulatory issues.","Very good client relations.",15.0,14.0,12.8
Innovate Tech Fund,26.5,21.0,-22.0,18.0,1.00,1.50,7.5,118,92,700,2.6,1.0,2020-01-01,PMS,Technology,"Tech specialist, 8 years. Fast-paced, young team.","Focus on disruptive technologies.","Newer, agile fund house. No red flags.","Average communication, digital-first.",27.2,25.8,20.7
Guardian Capital,9.0,8.5,-4.0,5.0,0.68,1.05,1.8,100,90,4000,1.0,2.0,2007-02-10,AIF Cat II,Credit Fund,"Experienced fixed income team, 20+ years collective.","Risk-averse, high-quality credit.","Large, conservative institution. Clean regulatory record.","Proactive and very transparent reporting.",9.3,8.8,8.3
Dynamic Arbitrage Fund,9.5,8.0,-1.5,2.0,0.72,1.15,1.0,101,98,1000,1.2,0.5,2015-08-01,PMS,Arbitrage,"Arbitrage specialist, 15 years. Stable.","Market-neutral, low-risk.","Mid-sized, reliable. No issues.","Efficient, but impersonal service.",9.8,9.2,7.9
Global Horizon Fund,13.0,11.5,-10.0,9.0,0.73,1.12,2.8,96,76,950,1.9,1.5,2016-10-10,PMS,Global Equity,"Manager with international experience, 10 years.","Diversified global equity exposure.","Emerging house. No issues.","Standard reporting, average responsiveness.",13.5,12.7,11.3
Stealth Growth Fund,30.0,25.0,-28.0,22.0,1.20,1.70,10.0,125,100,300,2.8,2.0,2021-03-01,AIF Cat III,High Growth,"New, unproven manager (3 yrs exp). Team still forming.","Very aggressive, concentrated portfolio.","Brand new, unestablished house. No history.","Limited communication, very basic reports.",30.8,29.0,24.5
Legacy Preservation Fund,6.0,5.5,-1.0,1.5,0.50,0.80,0.5,98,95,5000,0.7,2.5,2000-01-01,PMS,Conservative Hybrid,"Retired veteran managing for continuity.","Extremely conservative, capital preservation.","Oldest, most trusted house. Perfect SEBI record.","Dedicated relationship managers, bespoke reporting.",6.2,5.8,5.4
Emerging Stars Fund,20.0,NULL,-18.0,16.0,0.90,1.30,7.0,110,87,450,2.5,1.0,2023-07-01,AIF Cat III,Emerging Companies,"Experienced manager, 10+ years.","Focus on small, high-growth, unlisted.","New fund in a larger group.","Qualitative client service data is incomplete.",20.5,NULL,NULL
